Sentence,Label
I sometimes catch myself believing I have to sound less like my family to be taken seriously.,internalized
"She felt embarrassed when her traditional clothes made her stand out, even though they once made her proud.",internalized
He assumed his accent made him seem less intelligent before anyone had even judged him.,internalized
I kept telling myself that people like me are not meant for leadership roles.,internalized
They laughed at jokes about their own community because disagreeing felt too risky.,internalized
I used to think being quiet about my identity made me more respectable.,internalized
She blamed herself for needing accommodations and wondered if she was just being difficult.,internalized
He avoided speaking his native language in public because he thought it made him seem uneducated.,internalized
I felt proud when someone said I did not “act like” others from my background.,internalized
They believed success meant distancing themselves from the neighborhood that raised them.,internalized
I questioned whether my cultural traditions were holding me back.,internalized
She felt ashamed of her body because she had absorbed the idea that only one kind of beauty mattered.,internalized
"He thought asking for mental health support would make him weak, just like people had said about men in his family.",internalized
I tried to erase parts of my identity because I thought acceptance required becoming less visible.,internalized
"They secretly believed their community was too loud, too emotional, or too much.",internalized
"I felt uncomfortable when people from my background spoke openly, because I had learned to value silence over honesty.",internalized
She believed she had to outperform everyone just to prove she was not a stereotype.,internalized
He saw his disability as a personal failure instead of part of how he moved through the world.,internalized
I avoided foods from my culture because I thought they made me seem strange.,internalized
They assumed their poverty meant they were less disciplined than people with more money.,internalized
I felt guilty taking up space in rooms where people like me were rarely represented.,internalized
She apologized for her religious practices even when no one had complained.,internalized
He believed that being accepted meant hiding how much his family struggled financially.,internalized
I sometimes felt less professional when I wore my natural hair.,internalized
They minimized their own experiences because they thought others had “real” problems.,internalized
I convinced myself that my community’s stories were less important than the ones taught in school.,internalized
She felt uncomfortable using her real name because she believed it sounded too foreign.,internalized
"He thought being emotional made him less masculine, even when he was simply being honest.",internalized
"I felt embarrassed when my parents struggled with English, as if their effort reflected badly on me.",internalized
They believed being disabled meant they should expect less from life.,internalized
I rejected my own dialect because I thought it made me sound careless.,internalized
She avoided talking about her sexuality because she had learned to see it as something private and shameful.,internalized
He believed that people from his country were naturally behind others.,internalized
"I thought I had to be grateful for any opportunity, even when I deserved better.",internalized
They felt proud of being called “different” from others in their marginalized group.,internalized
I treated my own cultural knowledge like it was less valuable than academic knowledge.,internalized
She felt pressure to be agreeable because she believed women who spoke firmly were difficult.,internalized
He wondered if his immigration background made him less capable of fitting into professional spaces.,internalized
I avoided community events because I thought they made me seem less modern.,internalized
They believed their family’s traditions were embarrassing instead of meaningful.,internalized
I felt like my success only counted if it was approved by people outside my community.,internalized
She assumed her darker skin made her less attractive before anyone said a word.,internalized
He believed that needing extra time meant he was not smart enough.,internalized
I felt ashamed of my working-class background and tried to make my childhood sound more polished.,internalized
They believed their gender identity made them a burden to the people around them.,internalized
I caught myself thinking that people from my group were too sensitive when they talked about harm.,internalized
She tried to make her voice softer because she feared being seen as aggressive.,internalized
He felt embarrassed by his traditional religion and described it vaguely to avoid judgment.,internalized
I believed my family’s way of speaking sounded less educated than standard English.,internalized
"They assumed that being poor meant they had made bad choices, even as children.",internalized
I avoided correcting people who mispronounced my name because I thought my name was the problem.,internalized
She believed she had to hide her chronic illness to be seen as reliable.,internalized
He felt uncomfortable around openly queer people because he had been taught to fear that part of himself.,internalized
"I thought my community’s anger was embarrassing, even when it came from pain.",internalized
They saw assimilation as proof of maturity and cultural pride as something childish.,internalized
I felt less worthy when I could not afford the same experiences as my classmates.,internalized
She believed that being a mother made her less serious as a professional.,internalized
"He thought his skin color made him automatically suspicious, even in safe spaces.",internalized
I tried to sound neutral because I believed my accent carried too much history.,internalized
They felt ashamed for needing public assistance and treated it like a moral flaw.,internalized
I believed I had to laugh at comments about my group to seem easygoing.,internalized
She assumed her hijab made her look less independent.,internalized
He felt pressure to reject his community’s customs to appear more educated.,internalized
I thought being first-generation meant I was always behind everyone else.,internalized
They believed their trauma made them damaged rather than resilient.,internalized
I felt uncomfortable being visibly proud of my identity because pride seemed arrogant.,internalized
She believed her body was wrong because it did not match dominant beauty standards.,internalized
He treated his family’s labor jobs as something to hide instead of honor.,internalized
I questioned whether I belonged in graduate school because no one in my family had gone before me.,internalized
They assumed their rural background made them less sophisticated.,internalized
I felt ashamed when my cultural values did not match what mainstream success looked like.,internalized
She believed that speaking up about sexism would make her seem bitter.,internalized
He thought his learning disability meant he should avoid ambitious goals.,internalized
I judged myself for not being able to pass as part of the dominant culture.,internalized
They believed their community needed to become more like the dominant group to be respected.,internalized
I felt uneasy when my family showed affection loudly in public because I had learned to see it as embarrassing.,internalized
She avoided sharing her pronouns because she thought her identity was too complicated for others.,internalized
He believed his refugee background made him seem less capable than his peers.,internalized
I felt like I had to prove I was “one of the good ones” whenever my group was criticized.,internalized
They mistook self-erasure for confidence because fitting in felt safer than being seen.,internalized
I believed my natural way of speaking needed to be corrected before I could be respected.,internalized
She felt ashamed of being single because she had internalized the idea that women are incomplete without marriage.,internalized
He thought his culture’s music and art were less refined than Western forms.,internalized
I felt guilty for needing support because I believed independence was the only respectable way to live.,internalized
They avoided using mobility aids because they thought visible disability would make them seem less capable.,internalized
"I felt proud when people said I was not like “those people,” even though they meant my own community.",internalized
She believed her age made her less valuable in spaces that praised youth.,internalized
He avoided discussing his family’s immigration story because he thought it made him seem less American.,internalized
I treated my own discomfort as overreacting because I had learned not to trust my experiences.,internalized
They believed that hiding their cultural background was the price of professionalism.,internalized
I felt ashamed for not knowing how to code-switch perfectly in every setting.,internalized
She saw her own ambition as selfish because she had been taught that women should not want too much.,internalized
He assumed his community’s struggles came from weakness rather than generations of pressure.,internalized
I avoided mirrors because I had absorbed messages that features like mine were unattractive.,internalized
They believed their nontraditional family structure made them less respectable.,internalized
I thought I had to reject my parents’ worldview completely to be considered educated.,internalized
She felt embarrassed asking for prayer space because she had learned to treat her faith as inconvenient.,internalized
He believed his sexuality made him less worthy of being loved openly.,internalized
I minimized my accomplishments because I thought people like me only succeed by luck.,internalized
"They felt ashamed of needing translation help, as if language barriers meant they were less intelligent.",internalized
"It struck me that my commitment to ""tough love"" grading is essentially enforcing a departmental curve that guarantees a certain percentage of first-generation students will fail.",institutionalized
"We talk a lot about confronting our internal biases, but the real wake-up call was seeing how our standardized late-work penalties automatically disproportionately punish students who rely on public transit.",institutionalized
"The assumption that students should just ""know how to study"" is deeply embedded in the way our program designs these high-stakes mid-term-only assessments.",institutionalized
"I always thought I was just holding high standards, yet our required prerequisite chain acts as a massive structural filter that weeds out non-traditional students before they even reach my class.",institutionalized
"While I’ve been reflecting on my own assumptions about student motivation, I didn't see how the university's strict drop deadline forces marginalized students to make impossible financial choices.",institutionalized
It’s uncomfortable to admit that my belief in meritocracy has been masking the fact that our program's reliance on expensive third-party homework platforms actively prices people out of a passing grade.,institutionalized
"We focus so much on dismantling deficit thinking in our heads, yet our required syllabus template literally starts with a list of punitive policies that assume the worst of our students.",institutionalized
"I used to think students skipping office hours meant they lacked dedication, completely ignoring that our campus commuter schedule makes it structurally impossible for most of them to attend at 3 PM.",institutionalized
"Examining my own stereotypes was helpful, but the bigger issue is how our department’s mandatory placement exams systematically funnel bilingual students into endless remedial tracks.",institutionalized
Believing that everyone has an equal shot if they try hard enough ignores how our reliance on closed-book timed exams actively disadvantages those relying on our understaffed accessibility office.,institutionalized
It never occurred to me that my traditional views on professionalism were actively written into our clinical rotation guidelines to effectively penalize anyone from a lower-income background.,institutionalized
"We spend so much time talking about unconscious bias in grading, but the sheer volume of required reading we mandate every week functions as a systemic barrier for students working full shifts.",institutionalized
I’ve realized that my assumptions about academic readiness are actually codified in the way our college restricts access to upper-division advising.,institutionalized
The idea that rigorous science courses must serve as gatekeepers is a cultural belief our department has translated into grading curves that predictably cut out underrepresented minorities.,institutionalized
Challenging my own deficit mindset made me look at how our financial aid disbursement dates rarely align with the day we require access to course software.,institutionalized
"I always blamed students' lack of focus, but our hybrid course structure demands a level of at-home tech infrastructure that a huge portion of our district simply does not possess.",institutionalized
The assumption that true learning only happens through synchronous participation is deeply woven into an attendance policy that severely docks points from student parents.,institutionalized
"It’s easy to say we value diversity, but our core curriculum requirements still exclusively rely on a canon that marginalizes non-Western epistemologies by design.",institutionalized
Unpacking my beliefs about student resilience brought to light how the university's complex petition process for emergency withdrawals is a bureaucratic nightmare that deters the most vulnerable.,institutionalized
My bias toward students who speak up in class meant I never questioned why our departmental rubric weighs vocal participation so heavily over written reflection.,institutionalized
The deficit narrative that students just don't read distracted me from the reality that our campus bookstore delays regularly leave half the class without texts for the first three weeks.,institutionalized
"I thought my strict no-extensions rule was about teaching responsibility, but it’s actually a localized policy that disproportionately fails students experiencing housing insecurity.",institutionalized
"We keep discussing our personal blind spots, yet we continue to enforce a registration sequence that leaves pell-eligible students with the worst possible course schedules.",institutionalized
Recognizing my own savior complex also meant acknowledging how our honors college admissions rubric explicitly favors students from highly funded high schools.,institutionalized
The belief that good students ask for help early is baked into an academic probation system that waits until week eight to offer any institutional intervention.,institutionalized
My assumptions about what constitutes a good writer are unfortunately hardwired into the university’s writing center guidelines that historically pathologize multilingual students.,institutionalized
Viewing students as underprepared is a mindset that directly justifies our department's refusal to offer supplemental instruction for introductory math courses.,institutionalized
I finally see how my internal biases about engagement blinded me to the fact that our mandatory evening review sessions structurally exclude students with caregiving responsibilities.,institutionalized
The idea that everyone has the same 24 hours in a day is a myth we’ve normalized through credit-hour loads that basically require students to not have a job.,institutionalized
It’s jarring to realize that the stereotypes I hold about student accountability are exactly what shaped the rigid zero-tolerance academic integrity software our college forces us to use.,institutionalized
"While I've actively tried to unlearn my own stereotypes, our financial aid verification process still automatically flags and delays funding for first-generation families at an alarming rate.",institutionalized
Believing that traditional academic English is the only marker of intelligence has allowed our grading committees to uphold rubrics that continuously penalize dialectal variations.,institutionalized
"I used to get frustrated by students who wouldn't participate in field trips, not realizing that the liability waiver process and mandatory transportation fees create a hard barrier for them.",institutionalized
The notion that serious students figure things out on their own is a harmful ideology that justifies our college's completely decentralized and nearly unnavigable advising framework.,institutionalized
My implicit biases about tech-savviness made me completely overlook how the forced transition to an entirely cloud-based workflow locks out students without consistent home Wi-Fi.,institutionalized
"We pat ourselves on the back for being inclusive, yet the prerequisite algorithm in our registration software actively blocks students from taking co-requisite support labs.",institutionalized
"Assuming that a lack of eye contact means disrespect is a personal bias, but hardcoding professional demeanor into our grading software makes it a systemic penalty for neurodivergent students.",institutionalized
It’s hard to admit that my belief in weeding out the weak is exactly what sustains our department's refusal to align the lab curriculum with the lecture material.,institutionalized
Taking a hard look at my deficit thinking made me realize that our campus policy of deregistering students for minor bursar holds is the real reason they aren't succeeding.,institutionalized
"I’ve always valued grit, but the way our university structures mental health services with month-long waitlists turns perseverance into a requirement for basic survival.",institutionalized
The assumption that STEM requires a specific type of innate brilliance has historically driven the design of our introductory sequences to intentionally overwhelm rather than teach.,institutionalized
"I used to equate poor grammar with laziness, completely ignoring how the lack of a centralized campus writing center leaves under-resourced students entirely on their own.",institutionalized
Unpacking my beliefs about independent learning led me to see how our distance-education policies actually shift the burden of instructional design onto the students themselves.,institutionalized
"We tell ourselves that blind grading eliminates bias, but the standardized exams we use are inherently normed against a demographic that doesn't reflect our actual student body.",institutionalized
"My expectation that students should instantly understand campus bureaucracy was rooted in privilege, and it blinded me to how broken the financial aid appeal structure really is.",institutionalized
The cultural assumption that college is a full-time residential experience is still driving a master schedule that offers almost zero required courses after 5 PM.,institutionalized
"I thought I was just being fair by applying the same late penalty to everyone, forgetting that equality in a system with massive digital divide issues is just another form of exclusion.",institutionalized
Confronting my own stereotypes about student maturity made me realize that our mandatory freshman orientation modules are designed around a highly privileged traditional eighteen-year-old experience.,institutionalized
The belief that extra credit is a reward for the most dedicated ignores the fact that our department only offers it for off-campus events that require reliable private transportation.,institutionalized
My mindset that failure is just a part of the learning process masked the reality that the college’s rigid repeat-policy prevents those who need a second chance from ever getting one.,institutionalized
My deficit assumptions really showed up in how quickly I dismissed Maria's question about the syllabus during office hours.,interpersonal
"During the workshop, it hit me that the tone of my written feedback is much harsher for students I unconsciously view as unprepared.",interpersonal
I've been letting dominant cultural norms dictate the classroom discussion by allowing the same three men to constantly talk over their peers.,interpersonal
"Looking back at yesterday's lab, my implicit bias definitely influenced why I stood closer to the male groups and offered them more hands-on guidance.",interpersonal
The stereotype that international students are quiet clearly led me to stop making eye contact with them during my lectures.,interpersonal
"I noticed that when a first-gen student brings up a personal struggle, my own discomfort with non-academic topics makes me immediately change the subject.",interpersonal
My internalized beliefs about what academic rigor looks like caused me to use a deeply condescending tone when a student asked for clarification.,interpersonal
I didn't realize my deficit mindset was actively shaping my advising appointments until I caught myself talking down to a student about their course load.,interpersonal
It was painful to recognize that my own unconscious racial biases manifest in the way I impatiently cut off certain students mid-sentence.,interpersonal
"By assuming that ELL students couldn't handle complex theory, I've been unconsciously watering down my vocabulary when speaking directly to them.",interpersonal
The workshop made me see how my assumptions about gender and STEM play out when I automatically hand the microscope to the male lab partners.,interpersonal
I have completely ignored the microaggressions happening in peer review groups because I was clinging to the belief that my classroom is a post-racial space.,interpersonal
"When I look at my email replies, my embedded stereotypes are obvious in how brief and blunt I am with students of color asking for extensions.",interpersonal
Holding onto the myth of meritocracy actually made me act incredibly dismissive when a student tried to explain their work conflict after class.,interpersonal
My own biases about professionalism definitely influence why I correct the spoken grammar of my rural students in front of the whole class.,interpersonal
I can finally see how my deficit thinking causes me to over-explain basic concepts only to the female students during my office hours.,interpersonal
The way I responded to Jamal's insightful comment today was totally colored by my unconscious assumption that he hadn't done the reading.,interpersonal
I let a harmful stereotype dictate my interaction when I expressed surprise that a student-athlete wanted to discuss grad school.,interpersonal
My underlying assumptions about who belongs in honors classes actually changed my facial expressions when certain students came to ask for recommendation letters.,interpersonal
"Reflecting on my own implicit bias, I recognized that I rarely validate the contributions of indigenous students during our large group critiques.",interpersonal
I bought into the model minority myth so deeply that I completely brushed off a struggling Asian student who came to me for help.,interpersonal
My deficit assumptions about urban schools led me to use an overly paternalistic tone when advising a freshman on her major.,interpersonal
It turns out my unconscious biases dictate who I smile at and who I scowl at when students walk into the lecture hall late.,interpersonal
"Because of my internalized classism, I often act visibly frustrated when students ask questions about affordable textbook alternatives after class.",interpersonal
My belief in colorblindness caused me to completely invalidate a student's lived experience when they tried to share it during seminar.,interpersonal
The way I structured the Q&A subtly allowed my implicit biases to let the white students completely dominate the conversation.,interpersonal
I was projecting my own stereotypes about single mothers when I kept questioning a non-traditional student about her commitment to the group project.,interpersonal
My deficit mindset around academic writing meant that my marginal notes on certain essays were unnecessarily sarcastic and demoralizing.,interpersonal
"Looking at my interactions, my unconscious assumptions definitely make me less patient and more curt with neurodivergent students asking for accommodations.",interpersonal
I allowed my biases regarding academic background to justify why I consistently ignore the raised hands of transfer students.,interpersonal
Unpacking my own privilege helped me see that my tone becomes defensive whenever a student of color questions my grading rubric.,interpersonal
My embedded stereotypes about who is good at math directly impacted why I only praised the boys during the whiteboard exercises.,interpersonal
I realized my implicit bias was actively harming my students when I heard myself jokingly mock a student's accent during a supposedly casual chat.,interpersonal
"By holding onto deficit narratives, I've been giving off completely unapproachable body language during my office hours.",interpersonal
My assumptions about student apathy led me to aggressively confront a student who was actually just trying to read the board through a glare.,interpersonal
The workshop revealed that my unconscious biases show up in the very subtle eye-rolls I give when certain students ask questions.,interpersonal
I let my stereotypes about community college transfers seep into the doubtful way I questioned a student about their prerequisite knowledge.,interpersonal
My own unchecked biases allowed me to sit back and watch while a female student was constantly talked over by her group members.,interpersonal
"Because I harbor deficit views about first-generation college students, I unconsciously use a babying tone when I explain the syllabus to them.",interpersonal
My implicit assumptions about leadership meant I only ever directed my questions to the white men when checking in on project groups.,interpersonal
I failed to intervene in a clear microaggression between students because my own internalized biases made me think it was just a harmless joke.,interpersonal
My belief that good students don't need help made me incredibly abrasive when a struggling student finally worked up the courage to visit my office.,interpersonal
Examining my deficit thinking made me realize my email etiquette completely changes depending on whether I perceive the student as high-achieving.,interpersonal
My unconscious bias definitely influenced why I felt the need to heavily police the tone of a Black female student during our debate.,interpersonal
I acted out my stereotypes about male athletes by visibly ignoring a student when he tried to contribute to the poetry discussion.,interpersonal
My internalized ideas about respectability politics caused me to scold a student in front of everyone for their casual greeting before class.,interpersonal
Holding tight to my own academic privilege actually made me roll my eyes when a student asked what a lit review was during advising.,interpersonal
My implicit bias really came out in the patronizing way I praised a Latina student simply for showing up to office hours.,interpersonal
I let deficit thinking color my interactions when I automatically asked the only student of color to speak on behalf of their entire race during the sociology lecture.,interpersonal
My unconscious assumptions about who is college material actively shifted my body language away from the non-traditional students in the front row.,interpersonal
"When I corrected her essay's tone for being ""too informal,"" I was essentially policing her cultural expression of knowledge.",ideological
"Looking back at how I dismissed his spoken contribution as ""unclear,"" I can see now that I was just enforcing standard English as the only valid metric of intellect.",ideological
"My habit of heavily red-penning non-native speakers' drafts isn't about maintaining rigor, it's about holding up a rigid, exclusionary standard of academic literacy.",ideological
"I often commend students for sounding ""academic,"" without questioning why I implicitly believe intellectual brilliance has to sound like a middle-class white person.",ideological
"It makes me uncomfortable to admit that I interpreted her passionate debate style as ""aggressive"" simply because it violated my internalized norms of polite, detached discourse.",ideological
"When I tell students to ""leave their personal experiences at the door"" during peer review, I am prioritizing a sterile, supposedly objective epistemology over their lived realities.",ideological
"The way I reacted to the group's presentation style as ""too casual"" reveals my own deep-seated biases about what authority is supposed to look and sound like.",ideological
"Telling him that his phrasing wasn't ""scholarly enough"" was just a coded way of saying it didn't align with dominant cultural expectations of how smart people speak.",ideological
"I've been interpreting students' use of their community dialects in class as a lack of preparation rather than a valid, sophisticated linguistic choice.",ideological
"My frustration with her ""rambling"" answers during office hours was actually my inability to value nonlinear, narrative ways of meaning-making.",ideological
"Punishing students for not making eye contact during presentations ignores the fact that I am centering a very specific, western standard of confidence and respect.",ideological
"I always thought I was just encouraging active learning by grading participation, but really I was rewarding extroversion and cultural comfort with taking up space.",ideological
"When I asked the student to step out because they were ""disruptive,"" I failed to recognize how my definition of a productive classroom is built purely on compliance and docility.",ideological
It dawned on me that my assumption that the quiet students in the back row don't care is entirely based on a deficit view of introversion and non-western learning styles.,ideological
My immediate instinct to praise the student who dominates the discussion reinforces the harmful myth that verbal dominance is the same thing as intellectual leadership.,ideological
"Assuming she was disengaged because she was looking at her phone ignores how my own definition of ""paying attention"" is narrowly focused on performative compliance.",ideological
"When I got annoyed at the side-chatter during the lecture, I didn't stop to consider that communal, overlapping talk might be their cultural mode of processing complex information.",ideological
"I have been equating a student's willingness to debate me publicly with their actual mastery of the material, a metric that heavily favors those raised in debate-centric cultures.",ideological
"Evaluating their group dynamics based on who ""took charge"" completely dismisses collaborative models that don't rely on a single, dominant leader.",ideological
The fact that I viewed his silence as defiance rather than processing time shows how much I've internalized the idea that learning must be immediately visible and vocal.,ideological
"My strict policy on late work isn't actually preparing them for the ""real world,"" it's just penalizing students who don't have a safety net of time and generational resources.",ideological
"I caught myself thinking that the student who failed my midterm just didn't try hard enough, completely buying into the dangerous myth of pure meritocracy.",ideological
"When I told the working mother in my class that she just needed to manage her time better, I was blindly operating from a framework that assumes all students have equal access to uninterrupted hours.",ideological
Congratulating the student who pulled an all-nighter to finish the lab report romanticizes a toxic grind culture that only benefits those without other caregiving or financial responsibilities.,ideological
"My feedback that she ""isn't living up to her potential"" is deeply rooted in my own biased assumptions about what natural, effortless intelligence looks like.",ideological
Treating students who miss office hours as if they are uninterested ignores the hidden curriculum that tells first-generation students they aren't supposed to bother professors for help.,ideological
"I always thought my difficult exams were a badge of academic rigor, but really they just weed out the students who haven't been culturally trained in how to take multiple-choice tests.",ideological
Viewing his frequent absences as a lack of dedication is a massive failure on my part to understand how systemic poverty and transportation issues manifest in the classroom.,ideological
"When I asked the class why they performed so poorly on the quiz, I was implicitly blaming their work ethic instead of questioning my own pedagogical assumptions.",ideological
"The way I brush off requests for extensions by saying ""it's about fairness to everyone else"" relies on a completely flawed, equality-over-equity mindset.",ideological
"Judging the student's email for lacking a formal salutation wasn't about teaching them respect, it was about enforcing a specific, classed version of professional etiquette.",ideological
It’s hard to admit that I felt less confident in his lab results simply because he showed up to the presentation in sweatpants and a hoodie.,ideological
"When I suggested she change her research topic to something ""more objective,"" I was essentially telling her that her lived experience as a marginalized woman wasn't valid scholarship.",ideological
"My surprise that the Black student in the front row aced the complex coding assignment reveals some incredibly ugly, unexamined deficit narratives I've been carrying around.",ideological
"Telling the student that their artwork was ""too political"" was my way of enforcing the false idea that dominant, mainstream narratives are somehow neutral and unbiased.",ideological
"I often group the ""struggling"" students together without realizing that my definition of struggling is completely tied to their proximity to whiteness and wealth.",ideological
"When I told her to ""smile more"" during the mock interview, I was policing her affect based on patriarchal expectations of how women should exist in professional spaces.",ideological
"My advice to him about ""fitting in"" at the corporate networking event was really just asking him to assimilate and hide his authentic cultural self.",ideological
Reacting defensively when the student questioned the reading list showed my deeply ingrained belief that the western literary canon is inherently superior and untouchable.,ideological
"I framed my harsh critique as ""tough love,"" but really it was just me replicating the same gatekeeping, survival-of-the-fittest behaviors I experienced in graduate school.",ideological
"Calling on the same three outspoken students isn't just a bad habit, it's a reflection of my underlying belief that learning is an aggressive, performative act.",ideological
"When I told the student they were being ""too emotional"" about the case study, I was weaponizing the concept of rationality to dismiss their valid structural critique.",ideological
My reluctance to let students grade each other comes from a deeply entrenched hierarchical mindset where I believe I am the only valid arbiter of knowledge in the room.,ideological
"When I called on the only Latinx student to explain the reading on immigration, I was operating under the essentialist belief that minoritized individuals naturally embody and speak for entire sociopolitical phenomena.",ideological
"The way I dismissed her request for a content warning as ""coddling"" relies on a hardened, ableist assumption about what constitutes academic resilience.",ideological
"My syllabus language about ""cheating"" and ""plagiarism"" is aggressively rooted in a carceral, individualistic view of property rather than a communal, collaborative view of learning.",ideological
"When I sighed heavily at his basic question, I was signaling that this space only belongs to those who already possess foundational privilege and prior exposure.",ideological
"Giving extra credit for attending unpaid, off-campus events implicitly rewards the students who already have the most disposable income and free time to spare.",ideological
"I told the class that ""we are all equal in this room,"" which completely erased the very real systemic disparities they navigated just to walk through the door.",ideological
Correcting her pronunciation of a theoretical term in front of everyone was less about accuracy and more about asserting dominance and preserving academic purity.,ideological
