ID,Campus,Comment
32,Bakersfield,NA
36,Chico,"Something that I noticed is how I feel about my ""labels"" now versus how I would have viewed them when I was younger. I think it is important to know how each individual defines themselves and listening to each other is key. 
Our students (and everyone around us) are having different life experiences despite sharing a racial/gender/enter-identity-here commonalities. Since we all have so many different identities, knowing how they all intersect at different points in our lives and how that has created different life perspectives is an overwhelming task to do individually and in an hour long live zoom session. I want to continue listening to my students individually, but I am looking forward to seeing how I can potentially interpret generalized data to ensure my classroom an equitable space for all."
128,Chico,"As an intersectional scholar, I had experience discussing my various identities. However, one highlight of this exercise for me was that I realized I had not ever listed them out in such a methodical manner. To be able to list the various identities within each category gave me a visual representation of my identities that I had never seen on paper. 
An insight I gained from this activity has to do with the role that belief systems has played in my life. I identify as agnostic and never really considered my lack of engagement with institutionalized religions as one of my identities. However, this activity forced me to consider the role of the dominant religion in my community in how my identities have evolved throughout my life. "
25,Dominguez Hills,"It was great being able to reflect on the identity map. I brought up some powerful memories that have shaped who I am. I immigrated to this country as a young adult. Coming here, I was color blind. I believed that all people deserved the same respect regardless of how we look on the outside. I soon learned to see color. I learned to see the struggles of minority groups, colorism, sexism, and the inequality of resources attached to all these “isms.” As a young adult, I learned I was a minority, Brown, with an accent, which I was shamed for numerous times. I experienced how it felt to be discriminated against, stereotyped because I am Mexican, and looked at as less deserving.

Nonetheless, I have also found kind and supportive people in my journey. I educated myself, and here I am, doing my best to teach and support my students. This exercise has brought back some difficult memories and the realization that healing does not mean the memory does not have an emotional impact on me. This is the most important realization for me because when we do this type of exercise with our students, we never know what will be triggered within them, and if that is the case, how can I tell if they do not reach out and how can I support them aside from providing resources in Canvas and remind them to be kind to themselves."
91,Dominguez Hills,"I noticed that it was easy for me to identify elements of me better than before I pursued academia, and feel affirmed in who I am today. Ageism is something that has always impacted me. In my professional career, I am often the youngest in a particular space (I know this will not always be the case) and experience peers who are older calling me ""sweetie."" When it comes to students or direct reports, this is not the case, however it comes from peers who are older than me. While the intent might not be ill, the tone feels condescending. I have learned to be confident in my own assets and still be open to learning from them despite the feeling of being perceived as not yet as experienced. 
It also made me think about others parts of me that I have yet to unpack and how they have influenced me. My ethnicity has been of influence in my life, but it was not until in recent years that I have reflected on its impact on me. I have constantly felt that where I grew up and my sibling order as the oldest have been the larger influencers into who I am today and how I carry myself as an individual and educator. With time, I have seen how being a Latina has also impacted me in terms of how I show up today, but not to the extent that my hometown and sibling order have shaped me. 
I identify as Mexican-American and Latina. It took some time to come to this version of my identity because I often was labeled as not being “Mexican” enough. It was through my involvement in different Latina affinity groups that I stepped into my own version of who I am as a Latina/Mexican-American.
Growing up in the city of Compton as a Latina female has had the strongest impact on who I am today. My drive to be an educator and to fight for equitable access to education and financial stability comes from my experiences under these two identities. I take great pride in my Mexican heritage, and also in my ability to embrace my privileges as an American.
I hold privilege as a person with a college degree who speaks English and is heterosexual. I have experienced oppression as a woman of color from an immigrant background who at one point lived in a mixed-status household. I think about how this impacted me growing up as someone who did not speak English until the third grade. I was placed in courses that were not as challenging. I also think about instances when I am the only one in the room representing my identity and the pressure I feel for being tokenized."
186,Dominguez Hills,"I also identify with the geographic aspect. When I return to my rural hometown, I change behavior and check many of my comments.  
There is much suspicion around those from big cities with PhDs and I work hard to avoid coming across as judgmental or acting superior to those with modest income and fewer job opportunities."
11,East Bay,"A highlight from my experience was considering how the places that I grew up in and the places I lived, all helped shape my identity. I always thought it would be people and system that would shape my identity. Never thought about the role the places would play! 

Something I already knew - how privileges change as people move from one place to another.
"
81,East Bay,I’m 42 years old. It was hard to think about where to put my identities within the map!
201,East Bay,"I've worked to ensure I am aware of my own traits. After this exercise I did notice how much I rely on my clan network also known as k'é. This is a network of responsibilities tied to relationships. I have clear responsibilities to my spouse, children, parents, and those that teach me (elders and knowledge holders). Students become akin to nieces, nephews, sons, daughters, and elders. This gives me insight into how I can, at times, remain grounded when things get chaotic. When the environment becomes unstable, which I define as the emergence of new unknowable variables, my social network can guide me or have me stay still until things clarify. "
35,Fresno,"I enjoy having time to engage in activities like this as it forces me to go beyond the narrative that I tell myself about myself. Digging into my various identities reminds that I belong to a variety of discourse communities which are often at odds with each other, and yet I can begin to see where those tensions exist when I make the connections between intrapersonal, systemic, and personal. 

For this exercise, I noticed a connection that started in my early years when I felt not good enough about fitting into the mold of what a woman should be (according to family members) and not feeling good enough or smart enough as a faculty member. I have found away to internalize that story and bring it into other aspects of my identity."
15,Long Beach,"This was an interesting exercise. I am the only daughter in my family and have two older
brothers. I have lived in different countries during my childhood, which is called formative years.
That has helped me to know about the fact that people in different countries approach the
same issue differently. It helps me to be very accepting of different believes and behaviors. I
may have had many privileges! Well-traveled, middle class, a Ph.D degree etc. However, I never
considered it privilege! I have great gratitude for the life I have lived. Whatever didn’t kill me,
made me stronger!
In the breakout room, I shared the fact that once during my undergraduate studies, I was told
that I am taking the space that a man (who can provide for a family) should have had!
Participants were surprised that it didn’t bother me that much. Thinking about it I realized there
were two reasons contributing to this issue. One the fact that my father always said “ Education
of my daughter is very important. Even more important than the education of my sons.” I
realized what it really meant many years later and am so grateful for it. The second factor was
the fact that as I mentioned before I was exposed to different kinds of thoughts early on.
My main desire in life is to make a difference for others who have not been as lucky as I was.
Being a lecturer gives me that chance."
97,Long Beach,"I noticed the same Maria.  I grew up in the midwest for the first half of my life, the second half in So Cal.  I have never felt targeted. Listening to others' experiences with the attitude that what they are saying is valid for them, has really helped me become more open to different norms."
22,Monterey Bay,"I teach a SW class on Diversity and Social Justice and I give my students a similar activity. However, it is quite interesting to be on the other side and reflect on these issues for myself. I think for me , reflecting on my identities, privileges and oppressions continues to be an lifelong process which continues to push my awareness and growth no matter what age. A highlight is how much I have learned at myself about these issues over the years; I see things quite different now at the age of 65 compared to 20-30 years ago."
6,Northridge,"A highlight for me was learning that there was a term for LGBTQ+ advocates: ""LGBTQ+ ally."" As the parent of a nonbinary child, I was surprised that I did not know this term. It led me to focus on retention statistics for nonbinary students at CSUN, and I was shocked to find that they have some of the lowest retention rates. From my child's personal experience, I can relate to this. My child expressed to their professors that they wished to go by ""they/their"" pronouns in class and one of their professors flatly refused! And this was in the graduate program for marriage and family therapy of all places. It made my child want to drop out, and I had to encourage them to not throw their dreams away because of one insensitive/ignorant professor. But it made me understand the significant impact that one instructor's comments/reactions can have on a student's willingness to stay the course, particularly if that student is a member of a targeted group.

An insight that I had was that there are so many things that shape my identity. Prior to my mapping experience, I would have described my identity as a 64 year-old, white female. Now I can see that there are many more aspects of my experiences that have shaped my identity. This has made me aware that identities can be shaped by things that are not visible to an observer."
94,Northridge,"From my identity map experience, a highlight was having the opportunity to think about how my identities overlap within individual, system, and interpersonal categories. I've done very basic identity wheels with my first-year students, but this was a much more nuanced activity. The process of deciding where to plop certain identities within the 3 different circles was very eye-opening. As an example, I realized the ways in which my racial identity has been prominently felt in all 3 circles, as well as my religious background and allyship with different communities (queer and disability). Much of my identity is also based on my interpersonal experiences, which I'd never thought about before.

An insight from this experience is that our identities can shift and change throughout our lives, and yet at the same time, experiences we may have had decades ago have contributed to who we are to today. For myself, when we were prompted to think about our religious background, I thought about how I spent quite a bit of time within evangelical Christian communities all throughout my youth, but I don't spend time within (or even think about) these communities anymore; however, those experiences are a core part of who I am now. "
12,Sacramento,"While working on my identity map, I gained a deeper understanding of the numerous intersecting aspects of my identity. It was eye-opening to recognize just how many dimensions and intersections shape my personal identity. These facets include not only aspects like gender, race, and sexual orientation but also factors such as socio-economic background, education, religion, ability, and many more. This process was very enlightening. Thank you!"
27,San Bernardino,"Hi, all. Thanks so much for having us do this exercise. It was helpful I already know much of this about myself--at least what I could fill out in ten minutes. But the exercise seems like something that I'd benefit from expanding upon and adding to bit by bit. There's something insightful about writing down the details.

A highlight: I noticed that pretty much all of my identities really mapped out onto all three areas--personal, interpersonal, and systemic--in different ways. But it was useful to try to place them on the page and really think about it.

An insight: I noticed that for many people, doing this exercise in a timed and structured way (or in a way that seemed structured, even though it didn't need to be--i.e., we were told it would be fine to just make a list or draw out our map on paper) was more anxiety-provoking than enlightening. That will be something I keep in mind for use in a future class. This is probably something better demonstrated in class, but then given to students to do at home in whatever way works for them. That might also allow some more creativity from students who benefit from that. (Though I'm definitely a process-oriented person and the approach taken in our meeting worked for me!) 

Thanks again! "
139,San Bernardino,"I appreciated participating in the identity mapping activity and found that to be the highlight. I completed a similar
identity map previously and as in the past, it brings me to a place of gratitude for where I am today and helps me to
appreciate my privileged experiences and opportunities thus far. I understand that I come from a place of privilege and I know
that I have a lot to learn from individuals from other backgrounds and with varying lived experiences.
Specifically on the map, when trying to come up with the correct term to describe my identity in relation to the
LGBTQI+ community, I found myself frustrated. I perceive myself as a friend and supporter of the LGBTQI+ community and
wanted to identify as an advocate for the community. I soon realized after the conversation in the live community of practice
zoom session, that I don’t know if I have earned that description or if that is how I am perceived. That was a learning moment
for me. My hope is that I am perceived as I see myself otherwise I need to work on and commit to better self-awareness and
my actions so my perceptions align with my actions. "
212,San Bernardino,"I didn't post my identity map, but I found it a useful visualization of intersectionality. I particularly enjoyed the break-down into individual, interpersonal, and systemic aspects of privilege, because I was prompted to fully explore each aspect of identity. The exercise helped me to think about the intersection of my race with mental health and gender. It also made me more cognizant of aspects of privilege I hadn't considered, such as age. 

I do think that something like income might be included on the list. I know that education and employment roles map onto that, but in my experience, income has been the greatest practical determiner of privilege. Those who have it seem to be able to overcome their marginalized status in other areas, and those who do not seem to be under-served even if they belong to other privileged groups demographically. 

But overall, this was a stimulating way to start up conversations about a sensitive topic. "
7,San Francisco,"I appreciated walking through each of the identity categories and also the classification for wealth as enough, not enough, etc. What this exercise helped me to realize is how contingent our identities can be on the context and  on one another (intersectionality matters). I mostly occupy privileged identity positions, but I did reflect on how my gender identity (female) has been a source of violence in my life as others question / challenge my gender identity; I fall outside the normative expectations for womanhood based on height, strength etc. I wonder how these experiences can lend me a source of empathy for target groups in which I am non-target.
"
95,San Francisco,"Geography: Canada (first immigration place), South of Iran (birthplace), Germany (dream place), California (second immigration place)"
95,San Francisco,Race:Balooch (Southern Iranian Race) Religin/Belief system: used to be Muslim (born as a Muslim) 
95,San Francisco,"Age: 56 years, my son calls me old a number of times in a month"
95,San Francisco,"Status: Lecturer Faculty, Instructor"
95,San Francisco,Gender: Male
95,San Francisco,Disability: Wearing eye glasses
95,San Francisco,Education: First to obtain Phd degree in my generation (Canada) 
